"﻿VIODESCRIPTION",LOCATIONDESC1,ISSUEDATE,ISSUETIME,ObjectId,lat,lon
PARKING VEHICLE ON PRIVATE PROPERTY WITHOUT OWNERS CONSENT,6205 AIRPORT RD,1/1/2020,16:14,1,43.689456,-79.620458
PARKING VEHICLE ON PRIVATE PROPERTY WITHOUT OWNERS CONSENT,6205 AIRPORT RD,1/1/2020,16:18,2,43.689456,-79.620458
PARKING VEHICLE ON PRIVATE PROPERTY WITHOUT OWNERS CONSENT,100 CITY CENTRE DR,1/1/2020,17:52,3,43.5927596,-79.64343657271567
PARKING VEHICLE ON PRIVATE PROPERTY WITHOUT OWNERS CONSENT,3170 KIRWIN AVE,1/2/2020,2:28,4,43.5844331,-79.6175396
PARKING VEHICLE ON PRIVATE PROPERTY WITHOUT OWNERS CONSENT,4185-4205 SHIPP DRIVE,1/2/2020,4:08,5,,
PARKING VEHICLE ON PRIVATE PROPERTY WITHOUT OWNERS CONSENT,4185 - 4205 SHIPP DR,1/2/2020,4:11,6,,
PARKING VEHICLE ON PRIVATE PROPERTY WITHOUT OWNERS CONSENT,310 BURNHAMTHORPE RD W,1/2/2020,7:05,7,43.586963,-79.643277
PARKING VEHICLE ON PRIVATE PROPERTY WITHOUT OWNERS CONSENT,NR 2177 SHEROBEE RD,1/2/2020,8:01,8,43.57331085,-79.60242868984534
PARKING VEHICLE ON PRIVATE PROPERTY WITHOUT OWNERS CONSENT,NR 2177 SHEROBEE RD,1/2/2020,8:03,9,43.57331085,-79.60242868984534
PARKING VEHICLE ON PRIVATE PROPERTY WITHOUT OWNERS CONSENT,NR 2177 SHEROBEE RD,1/2/2020,8:06,10,43.57331085,-79.60242868984534
PARKING VEHICLE ON PRIVATE PROPERTY WITHOUT OWNERS CONSENT,NR 2177 SHEROBEE RD,1/2/2020,8:08,11,43.57331085,-79.60242868984534
PARKING VEHICLE ON PRIVATE PROPERTY WITHOUT OWNERS CONSENT,NR 2170 SHEROBEE RD,1/2/2020,8:13,12,43.57233305,-79.60253333166249
PARKING VEHICLE ON PRIVATE PROPERTY WITHOUT OWNERS CONSENT,NR 2170 SHEROBEE RD,1/2/2020,8:14,13,43.57233305,-79.60253333166249
PARKING VEHICLE IN PROHIBITED AREA,NR 3939 DUKE OF YORK BLVD,1/2/2020,8:15,14,43.5877871,-79.6406078
PARKING VEHICLE IN PROHIBITED AREA,NR 3939 DUKE OF YORK BLVD,1/2/2020,8:16,15,43.5877871,-79.6406078
PARKING VEHICLE ON PRIVATE PROPERTY WITHOUT OWNERS CONSENT,NR 2211 SHEROBEE RD,1/2/2020,8:20,16,43.572345,-79.60473
PARKING VEHICLE ON PRIVATE PROPERTY WITHOUT OWNERS CONSENT,NR 2211 SHEROBEE RD,1/2/2020,8:22,17,43.572345,-79.60473
PARKING VEHICLE IN PROHIBITED AREA,NR 7173 FRONTIER RIDGE,1/2/2020,8:22,18,43.62322384210526,-79.73860750526316
PARKING VEHICLE MORE THAN 30 CENTIMETRES FROM A RAISED CURB,NR 7289 FRONTIER RIDGE,1/2/2020,8:24,19,43.62564139370051,-79.73818579644097
PARKING VEHICLE FACING WRONG DIRECTION,NR 6922 GUARDIAN COURT,1/2/2020,8:39,20,43.57653267103982,-79.78259097830073
PARKING VEHICLE ON PRIVATE PROPERTY WITHOUT OWNERS CONSENT,NR 90 ABSOLUTE AVE,1/2/2020,8:47,21,43.5954754,-79.6338121
PARKING VEHICLE IN PROHIBITED AREA,NR 6893 APEX COURT,1/2/2020,8:48,22,43.57296784603824,-79.78330985858818
PARKING VEHICLE ON PRIVATE PROPERTY WITHOUT OWNERS CONSENT,NR 90 ABSOLUTE AVE,1/2/2020,8:50,23,43.5954754,-79.6338121
PARKING VEHICLE WITHIN 5 METRES OF INTERSECTION,WATERGARDEN DR,1/2/2020,9:18,24,,
PARKING VEHICLE ON HIGHWAY WHICH IS IMMOBILE OR UNLICENSED,WATERGARDEN DR,1/2/2020,9:19,25,,
PARKING VEHICLE ON PRIVATE PROPERTY WITHOUT OWNERS CONSENT,70 PARK ST E,1/2/2020,9:26,26,43.5557309,-79.58553506459828
PARKING VEHICLE ON PRIVATE PROPERTY WITHOUT OWNERS CONSENT,88 LAKESHORE RD E,1/2/2020,9:33,27,43.5530094,-79.5844318
PARKING VEHICLE IN PROHIBITED AREA,NR 6893 RIDGELEIGH HEIGHTS,1/2/2020,9:35,28,43.5602197,-79.7488348
PARKING ON A DESIGNATED FIRE ROUTE,365 PRINCE OF WALES DR,1/2/2020,9:37,29,43.5889041,-79.6483915
PARKING VEHICLE ON PRIVATE PROPERTY WITHOUT OWNERS CONSENT,7170 DARCEL AVE,1/2/2020,9:38,30,43.7199835,-79.6331076
PARKING VEHICLE ON HIGHWAY WHICH IS IMMOBILE OR UNLICENSED,OPP 4061 DURSLEY CRES,1/2/2020,9:40,31,43.598714,-79.6332755
PARKING VEHICLE ON PRIVATE PROPERTY WITHOUT OWNERS CONSENT,7170 DARCEL AVE,1/2/2020,9:41,32,43.7199835,-79.6331076
PARKING VEHICLE ON PRIVATE PROPERTY WITHOUT OWNERS CONSENT,7170 DARCEL AVE,1/2/2020,9:43,33,43.7199835,-79.6331076
PARKING VEHICLE ON PRIVATE PROPERTY WITHOUT OWNERS CONSENT,7170 DARCEL AVE,1/2/2020,9:46,34,43.7199835,-79.6331076
PARKING VEHICLE ON PRIVATE PROPERTY WITHOUT OWNERS CONSENT,7230 DARCEL AVE,1/2/2020,9:49,35,43.720481,-79.6343292
PARKING VEHICLE ON PRIVATE PROPERTY WITHOUT OWNERS CONSENT,7230 DARCEL AVE,1/2/2020,9:51,36,43.720481,-79.6343292
PARKING VEHICLE ON PRIVATE PROPERTY WITHOUT OWNERS CONSENT,7280 DARCEL AVE,1/2/2020,9:58,37,43.7231181,-79.6373026
PARKING VEHICLE ON PRIVATE PROPERTY WITHOUT OWNERS CONSENT,7280 DARCEL AVE,1/2/2020,10:00,38,43.7231181,-79.6373026
PARKING VEHICLE ON HIGHWAY OBSTRUCTING SIDEWALK,NR 240 LECH WALESA DR,1/2/2020,10:00,39,43.57946640989061,-79.62927979799505
PARKING VEHICLE ON PRIVATE PROPERTY WITHOUT OWNERS CONSENT,7280 DARCEL AVE,1/2/2020,10:02,40,43.7231181,-79.6373026
PARKING VEHICLE ON PRIVATE PROPERTY WITHOUT OWNERS CONSENT,7280 DARCEL AVE,1/2/2020,10:04,41,43.7231181,-79.6373026
PARKING VEHICLE ON PRIVATE PROPERTY WITHOUT OWNERS CONSENT,7280 DARCEL AVE,1/2/2020,10:07,42,43.7231181,-79.6373026
PARKING VEHICLE ON PRIVATE PROPERTY WITHOUT OWNERS CONSENT,3425 MORNINGSTAR DR,1/2/2020,10:10,43,,
PARKING VEHICLE ON UNTRAVELLED PORTION OF HIGHWAY,NR 3842 MORNINGSTAR DR,1/2/2020,10:13,44,,
PARKING VEHICLE IN PROHIBITED AREA,NR 3873 STARDUST DR,1/2/2020,10:16,45,43.53797135294118,-79.73253752941176
PARKING A VEHICLE IN A PARKING SPACE GOVERNED BY A PARKING MACHINE WITHOUT CLEAR,OPP 510 CURRAN PL,1/2/2020,10:27,46,43.585986,-79.646242
PARKING VEHICLE ON PRIVATE PROPERTY WITHOUT OWNERS CONSENT,150 PAISLEY BLVD W,1/2/2020,10:42,47,43.5730379,-79.61358250153343
PARKING VEHICLE ON PRIVATE PROPERTY WITHOUT OWNERS CONSENT,43 AGNES ST,1/2/2020,10:56,48,43.5805211,-79.6188766
PARKING VEHICLE ON UNTRAVELLED PORTION OF HIGHWAY,NR 4747 APPLE BLOSSOM CIR,1/2/2020,10:59,49,43.58577956263647,-79.66668635066972
PARKING VEHICLE ON PRIVATE PROPERTY WITHOUT OWNERS CONSENT,6677 MEADOWVALE TOWN CENTRE CIR,1/2/2020,11:04,50,43.583452,-79.7600128
PARKING A VEHICLE IN A PARKING SPACE GOVERNED BY A PARKING MACHINE WITHOUT CLEAR,NR 4099 BRICKSTONE MEWS,1/2/2020,21:15,51,43.5864745,-79.6479482
PARKING A VEHICLE IN A PARKING SPACE GOVERNED BY A PARKING MACHINE NOT WITHIN TH,NR 515 CURRAN PL,1/2/2020,21:17,52,43.58611,-79.646422
PARKING A VEHICLE IN A PARKING SPACE GOVERNED BY A PARKING MACHINE WITHOUT CLEAR,NR 4030 CONFEDERATION PKWY,1/2/2020,21:20,53,43.585546,-79.64553066666667
PARKING VEHICLE ON HIGHWAY WHICH IS IMMOBILE OR UNLICENSED,VALMARIE AVE,1/2/2020,21:21,54,,
PARKING VEHICLE ON HIGHWAY WHICH IS IMMOBILE OR UNLICENSED,NR 4011 BRICKSTONE MEWS,1/2/2020,21:27,55,43.5854498,-79.6469177
PARKING A VEHICLE IN A PARKING SPACE GOVERNED BY A PARKING MACHINE WITHOUT CLEAR,NR 4011 BRICKSTONE MEWS,1/2/2020,21:27,56,43.5854498,-79.6469177
PARKING HEAVY VEHICLE IN RESIDENTIAL ZONE,OPP3274 FLANAGAN CRES,1/2/2020,21:29,57,43.55678531369881,-79.65669465434037
PARKING A VEHICLE IN A PARKING SPACE GOVERNED BY A PARKING MACHINE NOT WITHIN TH,NR 4011 BRICKSTONE MEWS,1/2/2020,21:30,58,43.5854498,-79.6469177
PARKING VEHICLE LONGER THAN FIVE HOURS,NR 4200 HICKORY DR,1/2/2020,21:30,59,43.62483763857229,-79.60971701108775
PARKING A VEHICLE IN A PARKING SPACE GOVERNED BY A PARKING MACHINE NOT WITHIN TH,NR 4011 BRICKSTONE MEWS,1/2/2020,21:33,60,43.5854498,-79.6469177
PARKING VEHICLE LONGER THAN FIVE HOURS,OPP 4191 HICKORY DR,1/2/2020,21:37,61,43.6246903766883,-79.60916913481941
PARKING A VEHICLE IN A PARKING SPACE GOVERNED BY A PARKING MACHINE WITHOUT CLEAR,NR 515 CURRAN PL,1/2/2020,21:41,62,43.58611,-79.646422
PARKING VEHICLE ON HIGHWAY WHICH IS IMMOBILE OR UNLICENSED,NR 4070 CONFEDERATION PKWY,1/2/2020,21:43,63,43.58649647826087,-79.64688165217392
PARKING A VEHICLE IN A PARKING SPACE GOVERNED BY A PARKING MACHINE NOT WITHIN TH,OPP 530 ARBUTUS WAY,1/2/2020,21:47,64,43.586602,-79.6483869
PARKING VEHICLE ON HIGHWAY WHICH IS IMMOBILE OR UNLICENSED,KARIYA DR,1/2/2020,21:56,65,,
PARKING A VEHICLE IN A PARKING SPACE GOVERNED BY A PARKING MACHINE WITHOUT CLEAR,KARIYA DR,1/2/2020,21:58,66,,
PARKING VEHICLE ON HIGHWAY WHICH IS IMMOBILE OR UNLICENSED,KARIYA DR,1/2/2020,22:00,67,,
PARKING A VEHICLE IN A PARKING SPACE GOVERNED BY A PARKING MACHINE WITHOUT CLEAR,KARIYA DR,1/2/2020,22:02,68,,
PARKING A VEHICLE IN A PARKING SPACE GOVERNED BY A PARKING MACHINE NOT WITHIN TH,KARIYA DR,1/2/2020,22:05,69,,
PARKING VEHICLE ON PRIVATE PROPERTY WITHOUT OWNERS CONSENT,2199 BURNHAMTHORPE RD W,1/2/2020,22:58,70,43.545416540635394,-79.68496401376694
PARKING VEHICLE IN PROHIBITED AREA,NR 5070 OSCAR PETERSON BLVD,1/2/2020,23:09,71,43.547141706781154,-79.72073566025794
STOPPING VEHICLE IN A PROHIBITED AREA,NR 510 CURRAN PL,1/2/2020,23:10,72,43.585986,-79.646242
STOPPING VEHICLE IN A PROHIBITED AREA,NR 510 CURRAN PL,1/2/2020,23:12,73,43.585986,-79.646242
